collision_id,crash_date,crash_time,contributing_factor_vehicle_1,contributing_factor_vehicle_2,number_of_persons_injured,number_of_persons_killed,vehicle_type_code1
4397513,2021-03-09T00:00:00.000,11:00,Following Too Closely,Unspecified,1,0,Pick-up Truck
4403773,2021-03-31T00:00:00.000,22:20,Driver Inexperience,Unspecified,1,0,Sedan
4405244,2021-04-06T00:00:00.000,22:58,Failure to Yield Right-of-Way,Unsafe Speed,7,0,Station Wagon/Sport Utility Vehicle
4405914,2021-04-09T00:00:00.000,14:45,Driver Inattention/Distraction,Unspecified,1,0,Sedan
4408191,2021-04-14T00:00:00.000,13:00,Following Too Closely,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407366,2021-04-14T00:00:00.000,11:00,Brakes Defective,Unspecified,1,0,Station Wagon/Sport Utility Vehicle
4408149,2021-04-16T00:00:00.000,21:15,Driver Inattention/Distraction,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407778,2021-04-15T00:00:00.000,13:30,Following Too Closely,Unspecified,0,0,Sedan
4407461,2021-04-14T00:00:00.000,14:40,Passing Too Closely,Unspecified,0,0,Box Truck
4407407,2021-04-14T00:00:00.000,21:43,Turning Improperly,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407900,2021-04-16T00:00:00.000,17:40,Unspecified,Unspecified,0,0,Sedan
4407760,2021-04-16T00:00:00.000,0:50,Driver Inexperience,Unspecified,0,0,Sedan
4407746,2021-04-15T00:00:00.000,10:30,Unspecified,Unspecified,0,0,Sedan
4408143,2021-04-16T00:00:00.000,16:35,Unsafe Speed,Unspecified,2,0,Station Wagon/Sport Utility Vehicle
4407638,2021-04-15T00:00:00.000,17:20,Following Too Closely,Unspecified,1,0,Sedan
4407958,2021-04-16T00:00:00.000,21:20,Backing Unsafely,Unspecified,0,0,Sedan
4407885,2021-04-16T00:00:00.000,17:20,Driver Inattention/Distraction,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407616,2021-04-15T00:00:00.000,14:30,Driver Inattention/Distraction,Driver Inattention/Distraction,0,0,Sedan
4456355,2021-09-11T00:00:00.000,22:57,Unsafe Speed,Unspecified,2,0,PK
4408038,2021-04-16T00:00:00.000,23:20,Unspecified,Unspecified,3,0,Station Wagon/Sport Utility Vehicle
4408224,2021-04-16T00:00:00.000,18:15,Driver Inattention/Distraction,Unspecified,0,0,Sedan
4407392,2021-04-14T00:00:00.000,13:00,Passing or Lane Usage Improper,Unspecified,0,0,Pick-up Truck
4456603,2021-06-30T00:00:00.000,11:47,Passing Too Closely,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407765,2021-04-14T00:00:00.000,20:14,Driver Inattention/Distraction,Unspecified,0,0,Sedan
4407821,2021-04-14T00:00:00.000,15:16,Passing Too Closely,Unspecified,1,0,Sedan
4407971,2021-04-15T00:00:00.000,19:30,Unspecified,Unspecified,0,0,Sedan
4408071,2021-04-16T00:00:00.000,13:15,View Obstructed/Limited,Driver Inexperience,0,0,Station Wagon/Sport Utility Vehicle
4407430,2021-04-14T00:00:00.000,21:08,Steering Failure,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4408259,2021-04-13T00:00:00.000,20:34,Failure to Yield Right-of-Way,Unspecified,1,0,Sedan
4407049,2021-04-13T00:00:00.000,14:10,Unspecified,Unspecified,0,0,Sedan
4408369,2021-04-14T00:00:00.000,22:00,Unspecified,Unspecified,3,0,Station Wagon/Sport Utility Vehicle
4407592,2021-04-15T00:00:00.000,12:16,Traffic Control Disregarded,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407674,2021-04-15T00:00:00.000,18:15,Unspecified,Unspecified,0,0,Sedan
4407708,2021-04-15T00:00:00.000,19:30,Passing or Lane Usage Improper,Unspecified,1,0,Sedan
4408396,2021-04-14T00:00:00.000,21:04,Drugs (illegal),Unspecified,1,0,Station Wagon/Sport Utility Vehicle
4407152,2021-04-14T00:00:00.000,1:40,Other Vehicular,Unsafe Speed,0,0,Sedan
4407862,2021-04-16T00:00:00.000,18:00,Reaction to Uninvolved Vehicle,Unspecified,0,0,Sedan
4407435,2021-04-14T00:00:00.000,8:30,Following Too Closely,Unspecified,0,0,Sedan
4407636,2021-04-15T00:00:00.000,12:05,Driver Inattention/Distraction,Unspecified,1,0,Station Wagon/Sport Utility Vehicle
4407792,2021-04-16T00:00:00.000,11:00,Turning Improperly,Unspecified,1,0,Station Wagon/Sport Utility Vehicle
4407853,2021-04-16T00:00:00.000,17:00,Traffic Control Disregarded,Unspecified,5,0,Sedan
4408205,2021-04-16T00:00:00.000,12:00,Unspecified,Unspecified,0,0,Box Truck
4407945,2021-04-16T00:00:00.000,20:27,Unspecified,Unspecified,0,0,Sedan
4408118,2021-04-15T00:00:00.000,18:25,Unspecified,Unspecified,0,0,Sedan
4408242,2021-04-12T00:00:00.000,16:08,Unspecified,Unspecified,1,0,Station Wagon/Sport Utility Vehicle
4407563,2021-04-14T00:00:00.000,11:55,Aggressive Driving/Road Rage,Unspecified,0,0,Sedan
4408098,2021-04-14T00:00:00.000,1:30,Driver Inattention/Distraction,Unspecified,0,0,Sedan
4407169,2021-04-14T00:00:00.000,3:25,Unsafe Speed,Unspecified,3,0,Station Wagon/Sport Utility Vehicle
4407798,2021-04-16T00:00:00.000,8:05,Following Too Closely,Unspecified,1,0,Station Wagon/Sport Utility Vehicle
4407797,2021-04-15T00:00:00.000,20:13,Driver Inattention/Distraction,Unspecified,1,0,Unspecified
4407349,2021-04-14T00:00:00.000,16:30,Failure to Yield Right-of-Way,Unspecified,2,0,Station Wagon/Sport Utility Vehicle
4407994,2021-04-14T00:00:00.000,20:15,Passing Too Closely,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4408032,2021-04-15T00:00:00.000,16:37,Driver Inattention/Distraction,Unspecified,1,0,Sedan
4407478,2021-04-15T00:00:00.000,6:05,Driver Inattention/Distraction,Driver Inattention/Distraction,1,0,Sedan
4407924,2021-04-16T00:00:00.000,8:40,Failure to Yield Right-of-Way,Unspecified,1,0,Sedan
4408315,2021-04-15T00:00:00.000,20:15,Turning Improperly,Unspecified,0,0,Ambulance
4407892,2021-04-13T00:00:00.000,23:00,Driver Inattention/Distraction,Unspecified,0,0,Sedan
4408280,2021-04-16T00:00:00.000,20:55,Driver Inattention/Distraction,Unspecified,0,0,Sedan
4408403,2021-04-15T00:00:00.000,17:25,Unspecified,Unspecified,0,0,Sedan
4407753,2021-04-16T00:00:00.000,6:45,Reaction to Uninvolved Vehicle,Driver Inattention/Distraction,0,0,Station Wagon/Sport Utility Vehicle
4408003,2021-04-10T00:00:00.000,12:00,Unspecified,Unspecified,0,0,Sedan
4407497,2021-04-14T00:00:00.000,15:53,Reaction to Uninvolved Vehicle,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4408229,2021-04-09T00:00:00.000,17:00,Backing Unsafely,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407525,2021-04-14T00:00:00.000,19:10,Unspecified,Unspecified,0,0,Sedan
4407817,2021-04-16T00:00:00.000,13:55,Unsafe Speed,Failure to Yield Right-of-Way,0,0,Station Wagon/Sport Utility Vehicle
4407539,2021-04-14T00:00:00.000,0:00,Driver Inattention/Distraction,Unspecified,2,0,Station Wagon/Sport Utility Vehicle
4455944,2021-09-11T00:00:00.000,20:00,Unspecified,Unspecified,0,0,Sedan
4408306,2021-04-16T00:00:00.000,16:00,Driver Inattention/Distraction,Unspecified,0,0,Sedan
4407830,2021-04-15T00:00:00.000,22:25,Failure to Yield Right-of-Way,Unspecified,1,0,Sedan
4407282,2021-04-14T00:00:00.000,10:09,Unspecified,Unspecified,0,0,Tow Truck / Wrecker
4407688,2021-04-16T00:00:00.000,0:01,Driver Inexperience,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407701,2021-04-15T00:00:00.000,20:45,Driver Inattention/Distraction,Unspecified,0,0,Sedan
4407728,2021-04-15T00:00:00.000,7:00,Driver Inattention/Distraction,Unspecified,0,0,Sedan
4408052,2021-04-15T00:00:00.000,10:45,Following Too Closely,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407849,2021-04-16T00:00:00.000,12:00,Failure to Yield Right-of-Way,Unspecified,0,0,Sedan
4407320,2021-04-14T00:00:00.000,6:50,Following Too Closely,Following Too Closely,0,0,Station Wagon/Sport Utility Vehicle
4407291,2021-04-14T00:00:00.000,3:39,Unspecified,Unspecified,0,0,Sedan
4408200,2021-04-16T00:00:00.000,22:00,Unspecified,Unspecified,0,0,Sedan
4407649,2021-04-14T00:00:00.000,0:00,Failure to Yield Right-of-Way,Unspecified,1,0,Station Wagon/Sport Utility Vehicle
4407802,2021-04-15T00:00:00.000,19:10,Driver Inattention/Distraction,Unspecified,0,0,Sedan
4407345,2021-04-14T00:00:00.000,13:35,Driver Inattention/Distraction,Unspecified,1,0,Station Wagon/Sport Utility Vehicle
4408356,2021-04-16T00:00:00.000,15:05,Failure to Yield Right-of-Way,Unspecified,0,0,Sedan
4407245,2021-04-14T00:00:00.000,9:33,Failure to Yield Right-of-Way,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4408057,2021-04-13T00:00:00.000,16:05,Unspecified,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407538,2021-04-15T00:00:00.000,9:27,Backing Unsafely,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4408332,2021-04-16T00:00:00.000,11:45,Passing Too Closely,Unspecified,0,0,Sedan
4407785,2021-04-11T00:00:00.000,8:56,Driver Inattention/Distraction,Unspecified,0,0,Sedan
4407929,2021-04-16T00:00:00.000,13:02,Driver Inattention/Distraction,Unspecified,0,0,Sedan
4407425,2021-04-14T00:00:00.000,0:00,Driver Inattention/Distraction,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4408123,2021-04-16T00:00:00.000,5:30,Driver Inattention/Distraction,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4408290,2021-04-16T00:00:00.000,20:26,Failure to Yield Right-of-Way,Unspecified,1,0,Unspecified
4408412,2021-04-13T00:00:00.000,9:00,Unspecified,Unspecified,0,0,Sedan
4407757,2021-04-15T00:00:00.000,11:45,Passing or Lane Usage Improper,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407770,2021-04-01T00:00:00.000,0:10,Reaction to Uninvolved Vehicle,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407554,2021-04-15T00:00:00.000,11:41,Passing Too Closely,Unspecified,0,0,Sedan
4407873,2021-04-15T00:00:00.000,2:00,Driver Inattention/Distraction,Unspecified,0,0,Sedan
4407502,2021-04-15T00:00:00.000,0:05,Steering Failure,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4408044,2021-04-16T00:00:00.000,11:30,Unspecified,Unspecified,0,0,Sedan
4408165,2021-04-16T00:00:00.000,15:30,Fell Asleep,Unspecified,0,0,Sedan
4407544,2021-04-14T00:00:00.000,15:00,Driver Inattention/Distraction,Unspecified,0,0,Sedan
4407277,2021-04-14T00:00:00.000,8:03,Driver Inattention/Distraction,Unspecified,1,0,Taxi
4407834,2021-04-16T00:00:00.000,7:45,Driver Inattention/Distraction,Unspecified,0,0,Sedan
4407338,2021-04-14T00:00:00.000,6:45,View Obstructed/Limited,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407397,2021-04-14T00:00:00.000,22:43,Driver Inattention/Distraction,Unspecified,0,0,Pick-up Truck
4408109,2021-04-15T00:00:00.000,16:55,Driver Inattention/Distraction,Unspecified,1,0,Sedan
4407683,2021-04-14T00:00:00.000,18:00,Backing Unsafely,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407829,2021-04-15T00:00:00.000,12:26,Failure to Yield Right-of-Way,Turning Improperly,2,0,Station Wagon/Sport Utility Vehicle
4456397,2021-09-11T00:00:00.000,22:15,Unspecified,Unspecified,1,0,Motorcycle
4407496,2021-04-15T00:00:00.000,8:10,Driver Inexperience,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407609,2021-04-15T00:00:00.000,16:00,Unspecified,Unspecified,0,0,Sedan
4407441,2021-04-14T00:00:00.000,16:00,Driver Inattention/Distraction,Driver Inattention/Distraction,1,0,Station Wagon/Sport Utility Vehicle
4407689,2021-04-15T00:00:00.000,18:30,Unspecified,Unspecified,0,0,Sedan
4407861,2021-04-16T00:00:00.000,14:56,Unspecified,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407350,2021-04-14T00:00:00.000,17:30,Unspecified,Unspecified,0,0,Sedan
4407721,2021-04-14T00:00:00.000,7:15,Unspecified,Unspecified,0,0,Sedan
4407381,2021-04-14T00:00:00.000,20:10,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407653,2021-04-15T00:00:00.000,9:28,Unspecified,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407299,2021-04-14T00:00:00.000,9:05,Driver Inattention/Distraction,Unspecified,1,0,Station Wagon/Sport Utility Vehicle
4407590,2021-04-14T00:00:00.000,10:49,Driver Inattention/Distraction,Unspecified,1,0,Station Wagon/Sport Utility Vehicle
4407896,2021-04-16T00:00:00.000,14:30,Passing Too Closely,Unspecified,0,0,Sedan
4407914,2021-04-16T00:00:00.000,18:05,Alcohol Involvement,Unspecified,0,0,Sedan
4407512,2021-04-14T00:00:00.000,0:00,Driver Inexperience,Unspecified,0,0,Sedan
4408427,2021-04-15T00:00:00.000,15:37,Unspecified,Unspecified,0,0,Sedan
4407532,2021-04-14T00:00:00.000,17:20,Failure to Yield Right-of-Way,Driver Inexperience,0,0,E-Bike
4408086,2021-04-14T00:00:00.000,23:17,Driver Inexperience,Unspecified,1,0,Sedan
4407856,2021-04-16T00:00:00.000,9:25,Driver Inattention/Distraction,Unspecified,1,0,Station Wagon/Sport Utility Vehicle
4407729,2021-04-15T00:00:00.000,16:00,Unspecified,Unspecified,1,0,Van
4407789,2021-04-13T00:00:00.000,17:55,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,1,0,Station Wagon/Sport Utility Vehicle
4408129,2021-04-16T00:00:00.000,21:00,Backing Unsafely,Unspecified,0,0,Sedan
4407576,2021-04-15T00:00:00.000,10:30,Failure to Yield Right-of-Way,Unspecified,1,0,Station Wagon/Sport Utility Vehicle
4408193,2021-04-15T00:00:00.000,23:36,View Obstructed/Limited,Unspecified,0,0,Ambulance
4407643,2021-04-15T00:00:00.000,0:00,Driver Inattention/Distraction,Unspecified,0,0,Sedan
4407906,2021-04-15T00:00:00.000,21:33,Passing or Lane Usage Improper,Passing or Lane Usage Improper,0,0,Sedan
4407414,2021-04-14T00:00:00.000,19:45,Driver Inattention/Distraction,Driver Inattention/Distraction,1,0,Sedan
4407623,2021-04-14T00:00:00.000,7:45,Passing or Lane Usage Improper,Unspecified,2,0,Station Wagon/Sport Utility Vehicle
4407436,2021-04-14T00:00:00.000,12:30,Driver Inattention/Distraction,Unspecified,0,0,Sedan
4407952,2021-04-16T00:00:00.000,8:30,Traffic Control Disregarded,Driver Inattention/Distraction,0,0,Station Wagon/Sport Utility Vehicle
4407761,2021-04-14T00:00:00.000,11:15,Failure to Yield Right-of-Way,Unspecified,2,0,Flat Bed
4408063,2021-04-15T00:00:00.000,15:18,Driver Inattention/Distraction,Unspecified,0,1,Station Wagon/Sport Utility Vehicle
4407388,2021-04-14T00:00:00.000,17:50,Driver Inattention/Distraction,Unspecified,0,0,Sedan
4407766,2021-04-14T00:00:00.000,10:29,Unspecified,Unspecified,1,0,Station Wagon/Sport Utility Vehicle
