unique_id,collision_id,person_type,person_age,person_sex,contributing_factor_1
10253851,4230946,Occupant,27.0,M,
10250415,4230142,Occupant,,,
10253648,4230791,Occupant,,,
10252432,4229753,Occupant,61.0,M,
6675446,3569886,Occupant,,,
10254499,4230704,Occupant,40.0,F,
10248561,4229571,Occupant,41.0,F,
10252425,4229777,Occupant,34.0,M,
10251095,4230132,Occupant,53.0,M,
10249024,4229567,Occupant,,F,
10250661,4230235,Occupant,5.0,M,
10254774,4230760,Occupant,46.0,M,
10254513,4230705,Occupant,29.0,M,
10253951,4230610,Occupant,65.0,M,
10253240,4231281,Occupant,48.0,F,
10248659,4229589,Occupant,,,
10253174,4231054,Occupant,53.0,M,
10254489,4230679,Occupant,41.0,M,
10253813,4230929,Occupant,23.0,M,
10249369,4230264,Occupant,33.0,F,
10249853,4230250,Occupant,59.0,M,
10253998,4230622,Occupant,38.0,M,
10251497,4229832,Occupant,53.0,M,
10251810,4230283,Occupant,55.0,M,
10251334,4230006,Occupant,35.0,M,
10251978,4229946,Occupant,58.0,F,
10251748,4230470,Occupant,36.0,M,
10254980,4230579,Bicyclist,34.0,M,
10251865,4229792,Occupant,45.0,F,
10253809,4230918,Occupant,49.0,M,
10249925,4230020,Occupant,49.0,F,
10248858,4229575,Occupant,19.0,M,
10253748,4230976,Occupant,58.0,M,
10254844,4230798,Occupant,63.0,M,
10252437,4229771,Occupant,64.0,F,
10254922,4230581,Occupant,,,
10253328,4230898,Occupant,31.0,F,
10253604,4230742,Occupant,38.0,F,
10254846,4230798,Occupant,29.0,M,
10251068,4230117,Occupant,35.0,M,
10253203,4230558,Occupant,30.0,M,
10250792,4229804,Occupant,40.0,M,
5966731,3441540,Occupant,,,
10248397,4229665,Occupant,64.0,M,
10255281,4230968,Pedestrian,30.0,F,Unspecified
10253620,4230780,Occupant,5.0,M,
10249286,4230174,Occupant,30.0,M,
10251123,4230464,Bicyclist,26.0,F,
10251452,4230116,Occupant,33.0,M,
10255321,4230840,Occupant,27.0,F,
10253815,4230930,Occupant,38.0,F,
10252003,4229950,Occupant,33.0,M,
10252303,4229891,Occupant,52.0,F,
